,seed,actions
0,3944410000,"[1, 3, 2, 1, 2, 0, 0, 3, 0, 3, 3, 3, 1, 1, 2, 2, 3, 3, 0, 0, 2, 2, 2, 1, 2, 1, 1, 3, 0, 1, 2, 0, 3, 3, 3, 3, 0, 0, 2, 1]"
1,3944410001,"[2, 3, 1, 1, 1, 2, 2, 0, 2, 1, 2, 2, 0, 3, 3, 3, 2, 1, 3, 3, 3, 0, 0, 2, 0, 1, 3, 1, 1, 2, 2, 0, 2, 0, 3, 1, 2, 1, 3, 3, 3, 0, 2, 1, 3, 0, 0, 2, 0, 1, 3, 1, 1, 2, 2, 2, 0, 3, 2, 1, 3, 3, 3, 0, 2, 1, 2, 2, 2, 2, 0, 3, 3, 0, 3, 0, 3, 3, 1, 1, 2, 2, 0, 1, 3, 1, 3, 0, 0, 2, 0, 1, 3, 1, 1, 2, 2, 2, 2, 0, 3, 1, 3, 3, 0, 2, 2, 0, 3, 1, 2, 1, 3, 3, 3, 0, 0, 2, 0, 1, 3, 1, 1, 2, 2, 0, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 0, 3, 0, 3, 1, 1, 1, 2, 2, 2, 2, 0, 3, 3, 2, 1, 3, 3, 3, 0, 2, 2, 2, 1, 2, 2, 0, 3, 1, 3, 3, 3, 3, 0, 2, 0, 2, 2, 1, 2, 1, 3]"
2,3944410002,"[3, 3, 1, 0, 2, 2, 1, 3, 3, 2, 0, 3, 1, 1, 3, 3, 0, 0, 2, 0, 1, 3, 1, 1, 2, 2, 0, 2, 0, 3, 1, 1, 3, 3, 0, 2, 2, 0, 1, 3, 1, 3, 0, 0, 0, 2, 1, 0, 1, 3, 1, 1, 2, 2, 0, 0, 2, 2, 1, 3, 0, 3, 3, 0, 3, 1, 1, 1, 2, 0, 1, 2, 0, 2, 3, 3, 1, 3, 0, 0, 0, 2, 1, 2, 3, 0, 3, 1, 1, 1, 2, 2, 0, 2, 2, 0, 3, 1, 3, 1, 3, 3, 0, 0, 2, 1, 3, 2, 2, 2, 0, 3, 1, 3, 3, 0, 2, 2, 3, 0, 3, 1, 1, 2, 2, 2, 2, 0, 3, 1, 3, 3, 1, 0, 1, 2, 0, 2, 0, 3, 1, 3, 1, 3, 0, 0, 2, 2, 3, 0, 3, 1, 1, 1, 2, 0, 2, 2, 2, 0, 3, 1, 3, 3, 1, 1, 3, 0, 2, 0, 2, 2, 0, 3, 1, 3, 1, 3, 0, 0, 2, 2]"
3,3944410003,"[3, 2, 2, 0, 0, 3, 1, 3, 0, 3, 0, 0, 2, 1, 3, 1, 2, 0, 1, 1, 1, 2, 2, 0, 0, 3, 1, 0, 2, 1, 2, 1, 3, 3, 3, 3, 0, 0, 2, 2, 3, 3, 1, 2, 1, 2, 2, 0, 0, 3, 3, 0, 0, 3, 1, 1]"
4,3944410004,"[3, 2, 0, 0, 3, 0, 2, 1, 1, 3, 0, 3, 2, 1, 3, 0, 3, 1, 2, 0, 3, 1, 3, 1, 1, 2, 0, 3, 0, 2, 0, 0, 2, 1, 2, 1, 3, 0, 1, 2, 1, 2, 0, 0, 0, 3, 3, 3, 3, 1, 2, 1, 2, 0, 3, 3, 1, 1, 1, 2, 0, 3, 0, 0, 0, 2, 1, 2, 1, 3, 2, 0, 3, 1, 1, 3, 0, 1, 0, 2, 2, 0, 3, 0, 3, 1, 1]"
5,3944410005,"[0, 2, 3, 1, 2, 0, 2, 1]"
6,3944410006,"[0, 3, 3, 3, 1, 1, 3, 3, 0, 2, 3, 0, 2, 1, 2, 3, 0, 2]"
7,3944410007,"[0, 1, 0, 2, 0, 0, 3, 3, 0, 3, 0, 3, 3, 1, 2, 0, 2, 2, 1, 3, 0, 1, 2, 1, 2, 2, 1, 1, 3, 0, 1, 0, 2, 0, 0, 0, 3, 3, 1, 3, 0, 3, 3, 1, 2, 0, 2, 2, 1, 3, 0, 1, 2, 1, 2, 3, 2, 0, 0, 3, 1, 3, 0, 3, 3, 1, 2, 0, 2, 2, 1, 3, 0, 1, 2, 1, 2, 1, 2, 0, 3, 3, 0, 3, 0, 3, 3, 1, 2, 0, 2, 2, 1, 3, 0, 1, 2, 1, 2, 0, 0, 2, 1, 1, 3, 3, 0, 3, 0, 3, 3, 1, 2, 2, 3, 0, 2, 2, 2, 1, 3, 1, 2, 1, 1, 2, 0, 3, 0, 3, 0, 2, 0, 3, 3, 3, 1, 2]"
8,3944410008,"[0, 2, 1, 3, 3, 3, 0, 2, 1, 2, 2, 0, 3, 1, 2, 2, 0, 1, 2, 0, 3, 3, 1, 3, 3, 3, 0, 2, 2, 2]"
9,3944410009,"[2, 3, 0, 0, 2, 0, 2, 1, 2, 0, 2, 2, 1, 3, 3, 3, 0, 3, 3, 1, 2, 2, 2, 3, 3, 0, 3, 1, 1, 1, 2, 0, 1, 3, 0, 0, 0, 2, 2, 1, 2, 0, 2, 2, 1, 3, 3, 2, 2, 0, 3, 3, 3, 3, 3, 1, 1, 2, 0, 2, 3, 3, 0, 2, 1, 2, 2, 0, 3, 1, 0, 2, 2, 2, 1, 3, 2, 0, 3, 3, 3, 1, 2, 3, 3, 3, 0, 2, 1, 2, 2, 0, 2, 2, 1, 3, 3, 3, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 1, 3, 3, 0, 3, 1, 2, 2, 2, 0, 3, 1, 3, 3, 0, 2, 2, 2, 1, 2, 2, 0, 3, 2, 1, 3, 3, 3, 3, 1, 1, 3, 0, 1, 2, 0, 0, 0, 2, 2, 2, 3, 1, 3, 3, 0, 3, 1]"
10,3944410010,"[0, 2, 3, 1, 2, 0, 2, 3, 1, 2]"
